1,学年内所有考勤无缺席（有记录）,1 次,德育,5,0,NULL,NULL
2,积极要求进步,1 次,德育,NULL,0,NULL,NULL
3,有见义勇为或舍己救人或奋不顾身抢救国家和人民的财产等突出的事迹（以事迹材料为准）,36 分,德育,NULL,0,NULL,NULL
4,有热心帮助、关心他人，助人为乐或拾金不昧等好人好事（以事迹材料为准）,不限,德育,NULL,0,NULL,NULL
5,学年中个人曾受到校、院级通报表扬（以记录或文件为准）,不限,德育,NULL,0,NULL,NULL
6,除上述内容外，确需加分者，根据其记录或证明材料，按照其性质或影响酌情加分。,1 次,德育,6,0,NULL,NULL
19,表现突出，学年中个人获得国家、省、市、校、院级荣誉称号或奖励（以证书或有关文件为准）,30 分,德育,NULL,0,NULL,NULL
20,集体获得院级以上荣誉称号的成员（以证书或文件为准）,不限,德育,NULL,0,NULL,NULL
21,"非学生干部同学热心支持班、院、校级学生工作（经核实,有记录）3次以上加1分",3 分,德育,1,1,3,1
22,学习勤奋，刻苦钻研，专业学习成绩年级排名在前1/3的,5 分,德育,1,1,5,1
23,代表班或年级参加院级比赛或文体活动;代表学院参加校级比赛或文体活动;代表学校参加各种比赛、文体活动、虽未获奖,9 分,德育,1,0,5,1
24,积极参加青年志愿者和社会实践活动、社团及科技活动（有记录），每次1分，可累计加5次，最高为5分,5 分,德育,NULL,1,NULL,NULL
25,称职的团、学组织学生干部（任职一学期及以上），班委、班团支部正职负责人,5 分,德育,NULL,0,NULL,NULL
26,本科学生适评学年（在第四学期前），大学英语四级考试成绩达到合格分数（425分及以上）,1 次,智育,3,0,NULL,NULL
27,大学英语六级考试成绩达到合格分数（425分及以上）,1 次,智育,5,0,NULL,NULL
28,本科学生适评学年（在第四学期前），大学计算机二级考试成绩达到合格分数者,1 次,智育,2,0,NULL,NULL
29,本科学生适评学年（在第六学期前），大学计算机三级考试成绩达到合格分数者,1 次,智育,3,0,NULL,NULL
30,生产实习中，在解决实习基地重大技术问题方面做出突出贡献，经有关专家或学校学术委员会成员三人以上推荐、证明。,1 次,智育,4,0,NULL,NULL
31,国家级学科、科技竞赛,不限,智育,NULL,0,NULL,NULL
32,省级学科、科技竞赛,不限,智育,NULL,0,NULL,NULL
33,校级学科、科技竞赛,不限,智育,NULL,0,NULL,NULL
34,适评学年内学生在一级及以上期刊发表论文,不限,智育,NULL,0,NULL,NULL
35,适评学年内学生在核心期刊发表论文,不限,智育,NULL,0,NULL,NULL
36,适评学年内学生在公开发行的期刊发表论文,不限,智育,NULL,0,NULL,NULL
37,本科学生适评学年，大学计算机四级考试成绩达到合格分数者,1 次,智育,3,0,NULL,NULL
38,获得发明专利授权的,不限,智育,NULL,0,NULL,NULL
39,获得实用新型专利授权的,不限,智育,NULL,0,NULL,NULL
40,获得外观设计专利授权的,不限,智育,NULL,0,NULL,NULL
